#OTU ID,MA.XM5,OL.XM5,CR.XM5,Mu.XM5,CR.XM6,Mu.XM6,CR.XM7,MA.XM7,Mu.XM7,GP.XM9,OL.XM9,CR.XM9,Mu.XM9,MA.XM10,OL.XM10,CR.XM10,Mu.XM10,OL.XM11,CR.XM11,MA.XM11,Mu.XM11,GP.XM14,MA.XM14,Mu.XM14,CR.XM14,M3.XM14,GP.XM16,Mu.XM16,M3.XM16,GP.XM17,MA.XM17,OL.XM17,CR.XM17,Mu.XM17,OL.AS2,CR.AS2,Mu.AS2,OL.AS3,CR.AS3,Mu.AS3,CR.AS4,OL.AS4,Mu.AS4,MA.AS4,M3.AS4,OL.AS7,CR.AS7,Mu.AS7,MA.AS7,OL.AS8,CR.AS8,Mu.AS8,GP.AS8,OL.AS11,CR.AS11,Mu.AS11
OTU1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66551436,0,0,0,0,0,0.217297168,0,0,0.998679527,0,0,0,0,0,0.009689466,0,0,0,0,0,0,0,0,0,0.194877229,0,0,0,0,0,0,0,0,0,0,0
OTU1358,0,0,0,0.05532824,0,0,0,0,0,0,0,0,0,0,0,0,0.011087185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005206711,0,0,0.034665536,0,0,0,0,0,0,0.007709933,0,0.004355467,0,0,0,0.03187435
OTU1356,0,0,0,0.138501648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1311,0,0,0,0,0,0,0.153504049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1367,0,0,0,0,0,0.330575005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1221,0,0,0,0,0,0,0,0.998931277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835348571,0,0,0,0,0,0,0,0,0,0,0.391833893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57949088,0,0,0,0,0,0,0,0,0,0,0
OTU1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164651429,0,0,0,0,0,0,0.946871463,0,0,0,0.188401344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035489617,0,0,0,0,0,0,0,0,0,0,0
OTU1200,0,0,0,0,0,0,0,0,0,0.994634689,1,0,0,0,0,0,0,0.967573675,0,0.20238378,0,0.017590946,0,0,0,0,0.951316747,0,0,0.85209606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001222094,0,0,0,0,0,0,0,0,0.544603575,0,0,0
OTU1209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032426325,0,0.031648854,0,0,0.001761099,0,0,0,0.048683253,0,0,0.139320741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001510774,0,0,0
OTU1599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027374839,0,0.359535181,0,0,0,0,0,0,0
OTU512,0,0.036378834,0.757793217,0.449071224,0.238464488,0.446000424,0.837084338,0,0.432183502,0,0,0.169243856,0.111768903,0,0,0,0.034468627,0,0.001693158,0,0.004335609,0,0,0.649234655,0,0,0,0,0,0,0,0.316933193,0.081329715,0.01634892,0.027621707,0.179520815,0.006673335,0,0.002324192,0,0.133751233,0.245497655,0.010071027,0,0,0.036826729,0.012705362,0.002118644,0,0.021519693,0.020515946,0,0,0.019851394,0.062146893,0
OTU1265,0,0.001735999,0.027607642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029059154,0,0,0,0.002810013,0,0,0.004898616,0,0,0,0,0,0,0,0.002820902,0.003828855,0,0,0,0,0,0,0,0.046168474,0.031613589,0,0,0,0,0.0136465,0.002118644,0,0.011766163,0.021226894,0,0,0.013472987,0.033349789,0.004619471
OTU1234,0,0.328759725,0,0,0,0,0,0,0,0,0,0.125284807,0.690832916,0,0,0.993351399,0.737677801,0,0.885691602,0,0.775597198,0,0,0,0.996935672,0,0,0.942384076,0,0,0,0,0.548838602,0.306801181,0.065168388,0.359774683,0.447605306,0.382421571,0.572149545,0.722664768,0.169847866,0.098338991,0.583801548,0,0,0.23009505,0.550933977,0.729661017,0.001368905,0.264367104,0.505789153,0.65561244,0,0.317443266,0.233229115,0.755052546
OTU1241,0,0.005748087,0,0,0,0,0,0,0,0,0,0,0.070920048,0,0,0,0.034595295,0,0,0,0.011935544,0,0,0.173396747,0,0,0,0,0,0,0,0,0,0.001258199,0.020152744,0,0.010805227,0.066342326,0.008632711,0.001691068,0.009261868,0,0.0039224,0,0,0.018927704,0.032980748,0.002966102,0,0.029848898,0.031078611,0,0,0.021597064,0.044045856,0.007314163
OTU1255,0,0.005503761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011873847,0,0,0,0,0,0,0,0,0,0,0,0.053387358,0.009006866,0.005517613,0.010687141,0.013690993,0.01346673,0.013214689,0.008232833,0.014403437,0.008292089,0.01038906,0,0,0.022425215,0,0.043644068,0,0.00362274,0.02782856,0.00404982,0,0.024148427,0,0.004965931
OTU1239,0,0.004886517,0,0,0,0,0,0,0,0,0,0.004648054,0.001442081,0,0,0,0,0,0.001725563,0,0.003219456,0,0,0,0,0,0,0,0,0,0,0,0.003421123,0.010272738,0.004272785,0,0.004590992,0.006573228,0.00498041,0.003916159,0.005986759,0.003290923,0.005618573,0,0,0.008394025,0.007017616,0.003813559,0,0.005232846,0.01665651,0.030946741,0,0.008280739,0.012451319,0.002232744
OTU592,0,0.259962708,0.019997258,0.074157222,0,0,0,0,0,0,0,0.078075159,0.060157566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096941753,0.010843113,0,0,0,0,0,0,0,0.002394703,0.014200202,0.002862292,0,0,0.002674567,0.013421446,0,0,0.015388903,0.003250051,0,0,0.005527953,0.002194065,0
OTU1385,0,0,0,0,0,0,0,0,0.367357238,0,0,0,0,1,0,0,0,0,0,0.078928619,0,0,0,0,0,0,0,0,0,0,0.998983162,0.025524299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039904212,0,0
OTU1223,0,0,0,0,0.001640322,0.146969375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002315085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001857571,0,0
OTU1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.935058476,0,0,0,0,0,0,0,0,0,0,0,0
OTU1268,0,0,0,0,0,0,0,0,0,0,0,0.527721238,0,0,0,0,0,0,0.097312011,0,0.002703445,0,0,0,0,0,0,0,0,0,0,0.441869966,0.140954092,0.593432813,0.728594018,0.111964196,0.239944908,0.466485687,0.315758018,0.191491255,0.450345119,0.432613822,0.214565886,0,0,0.345430605,0.137447061,0,0,0.109456279,0.119439366,0.154275235,0,0.092430957,0.240743788,0.043076568
OTU1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074905632,0,0,0.107402919,0,0,0,0,0,0,0,0,0.001624556,0,0.091747132,0.234384043,0.166505435,0.007168021,0.011488147,0.008232833,0.043175095,0.005959939,0.016643698,0,0,0.025470107,0.039773309,0.155932203,0,0.072919247,0.070180784,0.028577978,0,0.248175999,0.267401678,0.032374793
OTU1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060289078,0,0,0.009970364,0,0,0,0,0,0,0,0.023656667,0.00466343,0.00177222,0.004171853,0.007291948,0.014838741,0.012139883,0.014675609,0.014240577,0.006092407,0.003550051,0.013145341,0,0,0.005184545,0.009084027,0.011016949,0,0.004025266,0.010664229,0.012684343,0,0.009936887,0.010860622,0.006929207
OTU1536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216310744,0.003375821,0.003813559,0.55395005,0,0,0,0,0,0,0
OTU1236,0,0.08997621,0.166765701,0.020060108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002705406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1237,0,0.079161577,0,0.027193395,0,0,0,0,0,0,0,0,0,0,0,0.004531118,0.09031436,0,0.002276446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013630121,0,0,0,0.001728182,0,0,0,0,0,0,0,0,0,0
OTU1294,0,0,0,0,0.573207362,0,0,0,0,0.003373972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001831812,0,0,0,0,0.004272469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU820,0,0,0,0,0,0,0,0,0.18193747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059872839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035948724,0.085821653,0,0.435654278,0.070945795,0,0
OTU1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001777455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333292049,0,0,0,0,0,0
OTU1122,0.479024417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75962082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1216,0.449493363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238618081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
